country,2026-06-11,2026-06-12,2026-06-13,2026-06-14,2026-06-15,2026-06-16,2026-06-17,2026-06-18,2026-06-19,2026-06-20,2026-06-21,2026-06-22,2026-06-23,2026-06-24,2026-06-25,2026-06-26,2026-06-27,2026-06-28,2026-06-29,2026-06-30,2026-07-01,2026-07-02,2026-07-03,2026-07-04,2026-07-05,2026-07-06,2026-07-07,2026-07-08,2026-07-09,2026-07-10,2026-07-11,2026-07-12,2026-07-13,2026-07-14
Espagne,5.5,5.75,5.75,5.5,5.75,5.75,7.0,5.85,7.0,7.0,7.5,6.5,6.5,6.5,6.5,7.0,7.5,8.0,8.0,8.0,9.0,9.0,7.0,7.0,6.75,7.0,5.0,5.0,5.0,5.5,3.75,4.5,4.5,4.25
France,6.0,5.75,5.75,5.5,5.5,5.6,5.5,4.85,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.5,4.5,4.5,3.75,3.0,2.9,3.0,2.75,2.75,2.75,2.9,2.9,3.0,2.5,2.5,2.5,2.5,2.5
Angleterre,8.0,8.5,8.5,7.0,8.0,7.0,9.0,8.25,7.0,7.0,7.0,7.0,7.5,8.0,8.0,9.0,9.0,8.0,8.0,8.0,9.0,10.0,11.0,12.0,12.0,6.5,6.0,6.0,5.5,5.75,6.0,4.5,4.25,4.25
Brésil,10.0,10.0,10.0,9.0,10.0,9.0,11.0,11.0,13.0,13.0,16.0,15.0,16.0,18.0,15.0,15.0,15.0,15.0,15.0,12.0,12.0,13.0,13.0,13.0,14.0,,,,,,,,,
Argentine,10.0,10.0,10.0,9.0,10.0,9.0,10.0,10.5,9.0,9.0,9.5,8.0,7.5,7.5,7.0,7.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.5,5.5,5.0,5.0,5.0,5.5,5.25,4.5,5.5,5.5
Portugal,10.0,9.5,9.5,11.0,10.0,9.5,10.0,9.0,12.0,12.0,13.0,12.0,13.0,11.0,11.0,11.0,11.0,16.0,15.0,15.0,15.0,15.0,14.0,14.0,15.0,15.0,,,,,,,,
Allemagne,13.0,13.0,13.0,13.0,13.0,13.0,14.0,15.0,15.0,15.0,16.0,15.0,15.0,15.0,15.0,20.0,22.0,22.0,20.0,,,,,,,,,,,,,,,
Pays-Bas,22.0,22.0,22.0,22.0,22.0,20.0,20.0,19.0,20.0,20.0,18.0,17.0,18.0,18.0,17.0,17.0,20.0,20.0,18.0,,,,,,,,,,,,,,,
Norvège,26.0,26.0,26.0,26.0,26.0,26.0,30.0,28.0,35.0,35.0,40.0,40.0,35.0,35.0,35.0,35.0,40.0,40.0,40.0,40.0,35.0,50.0,50.0,40.0,40.0,20.0,17.0,17.0,16.0,16.0,16.0,,,
Belgique,30.0,30.0,30.0,30.0,30.0,40.0,40.0,38.0,45.0,45.0,50.0,50.0,60.0,60.0,65.0,65.0,60.0,60.0,75.0,65.0,60.0,50.0,75.0,75.0,75.0,65.0,35.0,30.0,35.0,40.0,,,,
Colombie,35.0,35.0,35.0,35.0,35.0,50.0,50.0,45.0,50.0,50.0,55.0,55.0,55.0,55.0,60.0,60.0,65.0,30.0,35.0,35.0,30.0,35.0,35.0,25.0,30.0,25.0,25.0,,,,,,,
Croatie,35.0,35.0,35.0,35.0,35.0,110.0,110.0,110.0,100.0,100.0,100.0,150.0,150.0,150.0,200.0,200.0,250.0,75.0,250.0,250.0,250.0,250.0,,,,,,,,,,,,
Uruguay,40.0,40.0,40.0,40.0,40.0,90.0,90.0,90.0,100.0,100.0,200.0,300.0,300.0,300.0,400.0,400.0,,,,,,,,,,,,,,,,,,
Maroc,50.0,50.0,50.0,50.0,60.0,41.0,41.0,41.0,45.0,30.0,45.0,40.0,40.0,40.0,50.0,50.0,60.0,55.0,65.0,20.0,30.0,35.0,35.0,40.0,30.0,35.0,30.0,30.0,35.0,,,,,
Japon,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,60.0,60.0,50.0,45.0,45.0,45.0,50.0,50.0,60.0,65.0,65.0,,,,,,,,,,,,,,,
Suisse,70.0,70.0,70.0,80.0,75.0,85.0,85.0,85.0,80.0,80.0,100.0,100.0,100.0,100.0,75.0,80.0,75.0,75.0,90.0,90.0,100.0,100.0,40.0,75.0,75.0,80.0,80.0,30.0,40.0,50.0,50.0,,,
États-Unis,70.0,70.0,70.0,70.0,70.0,50.0,50.0,50.0,40.0,30.0,35.0,35.0,35.0,35.0,30.0,30.0,30.0,35.0,40.0,40.0,35.0,35.0,35.0,35.0,35.0,35.0,,,,,,,,
Mexique,80.0,80.0,80.0,80.0,80.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,70.0,70.0,75.0,70.0,75.0,50.0,65.0,60.0,30.0,30.0,30.0,30.0,30.0,,,,,,,,,
Turquie,80.0,80.0,80.0,80.0,80.0,151.0,151.0,151.0,150.0,,,,,,,,,,,,,,,,,,,,,,,,,
Suède,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,125.0,125.0,300.0,250.0,300.0,300.0,300.0,300.0,400.0,250.0,500.0,200.0,,,,,,,,,,,,,,
Autriche,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,125.0,125.0,200.0,200.0,300.0,300.0,400.0,300.0,400.0,250.0,500.0,500.0,500.0,500.0,,,,,,,,,,,,
Sénégal,90.0,90.0,90.0,90.0,90.0,126.0,126.0,126.0,125.0,125.0,150.0,150.0,200.0,200.0,250.0,250.0,150.0,125.0,150.0,150.0,150.0,,,,,,,,,,,,,
République de Corée,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,250.0,250.0,450.0,450.0,500.0,500.0,500.0,700.0,1000.0,,,,,,,,,,,,,,,,,
Tchéquie,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,500.0,500.0,500.0,500.0,750.0,750.0,,,,,,,,,,,,,,,,,,,,
Paraguay,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,400.0,400.0,400.0,500.0,600.0,600.0,600.0,600.0,900.0,500.0,1000.0,350.0,500.0,500.0,600.0,600.0,,,,,,,,,,
Côte d'Ivoire,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,200.0,200.0,250.0,250.0,250.0,250.0,300.0,200.0,,,,,,,,,,,,,,
Équateur,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,350.0,400.0,400.0,500.0,150.0,150.0,125.0,150.0,150.0,,,,,,,,,,,,,,
Canada,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,125.0,125.0,250.0,250.0,250.0,250.0,250.0,300.0,400.0,175.0,300.0,200.0,300.0,400.0,400.0,400.0,,,,,,,,,,
Écosse,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,500.0,600.0,600.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,,,,
République d'Iran,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,750.0,750.0,750.0,750.0,750.0,750.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,,,,
Bosnie-Herzégovine,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,300.0,300.0,300.0,500.0,750.0,750.0,750.0,750.0,900.0,500.0,1000.0,750.0,750.0,,,,,,,,,,,,,
Australie,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,100.0,100.0,200.0,250.0,250.0,250.0,400.0,300.0,400.0,250.0,500.0,500.0,500.0,500.0,600.0,,,,,,,,,,,
Égypte,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,300.0,200.0,250.0,250.0,400.0,500.0,400.0,250.0,500.0,500.0,500.0,500.0,500.0,400.0,400.0,300.0,350.0,,,,,,,
Ghana,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,400.0,400.0,800.0,800.0,800.0,800.0,500.0,500.0,600.0,300.0,700.0,700.0,600.0,600.0,600.0,,,,,,,,,,,
Tunisie,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,750.0,750.0,750.0,,,,,,,,,,,,,,,,,,,,,,,
Algérie,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,500.0,500.0,500.0,500.0,750.0,750.0,1000.0,1000.0,1000.0,250.0,750.0,750.0,750.0,800.0,,,,,,,,,,,,
Qatar,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,2000.0,2000.0,2000.0,2500.0,2500.0,2500.0,,,,,,,,,,,,,,,,,,,,
RD Congo,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,700.0,700.0,700.0,700.0,750.0,750.0,1000.0,1000.0,1000.0,500.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,
Arabie Saoudite,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,,,,,
Ouzbékistan,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,1500.0,1500.0,1500.0,2000.0,2000.0,2000.0,2500.0,2500.0,5000.0,,,,,,,,,,,,,,,,,
Cap-Vert,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,1000.0,1000.0,1000.0,750.0,750.0,750.0,1000.0,1000.0,1000.0,500.0,1000.0,1000.0,1000.0,1000.0,1000.0,,,,,,,,,,,
Panama,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,1500.0,1500.0,1500.0,2000.0,2000.0,2000.0,,,,,,,,,,,,,,,,,,,,
Afrique du Sud,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,2000.0,2000.0,2000.0,1500.0,1500.0,1500.0,500.0,1000.0,1000.0,750.0,,,,,,,,,,,,,,,,
Irak,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,5000.0,5000.0,,,,,,,,,,,,,,,,,,
Haïti,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,5000.0,,,,,,,,,,,,,,,,,,,,,,,,,
Jordanie,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,,,,,,,,,,,,,,,,,,,,
Curaçao,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,5000.0,5000.0,1000.0,2500.0,2500.0,2500.0,5000.0,,,,,,,,,,,,,,,,,,,
Nouvelle-Zélande,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1500.0,1500.0,1500.0,2500.0,2500.0,,,,,,,,,,,,,,,,,,
